Index,Date,Ave Temp,Depart From Ave Temp,Precip,Total Diverted (AF),Total Return (AF),Alameda Level,Isleta Lakes Level
1,11/28/2023,36.5,-4.3,0,139,145.68,13.45,6.07
2,11/29/2023,41,0.6,0,142.3,144.61,13.45,6.13
3,11/30/2023,39,-1.1,0.17,140.11,147.03,13.54,6.24
4,12/1/2023,42,2.2,0,141.55,148.66,13.51,6.4
5,12/2/2023,38.5,-1,0,140.69,146.05,13.48,6.4
6,12/3/2023,41,1.8,0,140.64,145.19,13.47,6.43
7,12/4/2023,43,4.1,0,140.51,149.58,13.45,6.42
8,12/5/2023,43,4.4,0,138.12,144.45,13.55,6.45
9,12/6/2023,43.5,5.2,0,142.9,144.76,13.44,6.37
10,12/7/2023,46,7.9,0,140.58,144.67,13.56,6.46
11,12/8/2023,45,7.1,0,140.54,146.02,13.58,6.43
12,12/9/2023,34.5,-3.1,0,140.71,143.93,13.58,6.39
13,12/10/2023,32,-5.4,0,140.73,143.65,13.57,4.58
14,12/11/2023,38.5,1.3,0,140.81,147.77,13.57,4.71
15,12/12/2023,42,5,0,137.41,146.54,13.57,4.62
16,12/13/2023,44.5,7.6,0.03,137.52,145.65,13.58,4.65
17,12/14/2023,39.5,2.8,0.5,134.71,150.81,14.22,4.59
18,12/15/2023,43,6.4,0,141.79,147.98,13.66,4.56
19,12/16/2023,39,2.6,0,137.52,145.04,13.71,4.54
20,12/17/2023,42,5.7,0,137.63,147.71,13.69,4.52
21,12/18/2023,42,5.8,0,137.71,146.17,13.65,4.52
22,12/19/2023,41,4.9,0,139.38,144.85,13.69,4.5
23,12/20/2023,40,4,0.01,139.38,145.07,13.69,4.47
24,12/21/2023,44.5,8.5,0,139.18,145.5,13.63,4.49
25,12/22/2023,41.5,5.6,0.04,139.57,148.23,12.43,4.47
26,12/23/2023,43,7.1,0.43,144.42,151.6,12.39,4.46
27,12/24/2023,38.5,2.6,0,140.94,148.66,12.29,4.43
28,12/25/2023,33.5,-2.3,0,140.9,131.07,12.28,4.38
29,12/26/2023,34.5,-1.3,0,140.94,142.12,12.25,4.28
30,12/27/2023,35.5,-0.3,0,139.43,144.58,12.37,4.29
31,12/28/2023,33.5,-2.3,0,109.78,146.29,12.29,4.3
32,12/29/2023,36.5,0.6,0,141.22,144.91,12.33,4.33
33,12/30/2023,35,-0.9,0,140.81,144.24,12.3,4.41
34,12/31/2023,37.5,1.6,0,141.1,145.99,12.32,4.53
35,1/1/2024,36.5,0.5,0,140.75,138.5,12.32,4.78
36,1/2/2024,40,4,0,140.97,144.15,12.34,4.81
37,1/3/2024,37,0.9,0,140.92,145.47,12.29,4.82
38,1/4/2024,37,0.8,0.23,140.8,145.4,12.31,4.86
39,1/5/2024,33.5,-2.7,0,141.16,145.34,12.32,4.87
40,1/6/2024,30.5,-5.8,0,140.76,145.25,12.33,4.89
41,1/7/2024,33,-3.4,0,140.98,143.87,12.32,4.9
42,1/8/2024,28.5,-8,0,140.74,147.31,12.3,4.88
43,1/9/2024,28,-8.6,0,140.94,145.25,12.33,4.87
44,1/10/2024,33.5,-3.2,0,140.87,147.8,12.33,4.88
45,1/11/2024,33.5,-3.3,0,140.91,144.91,12.29,4.88
46,1/12/2024,27,-9.9,0,140.91,146.78,12.33,4.85
47,1/13/2024,40,3,0,140.95,144.73,12.26,4.81
48,1/14/2024,44,6.9,0,141.07,146.05,12.25,4.78
49,1/15/2024,39,1.8,0,141.1,149.33,12.27,4.78
50,1/16/2024,33,-4.3,0,141.03,148.29,12.26,4.81
51,1/17/2024,36,-1.4,0,140.94,143.22,12.39,4.87
52,1/18/2024,43.5,6,0,141.03,145,12.42,4.85
53,1/19/2024,40,2.3,0,140.85,146.63,12.2,4.9
54,1/20/2024,40.5,2.7,0,141.02,145.8,12.46,4.93
